canonical_value,alias,regional_name
Lai Châu,Lai Châu|Lai Chau,Trung du và miền núi phía Bắc
Phú Thọ,Phú Thọ|Phu Tho,Trung du và miền núi phía Bắc
TP Hải Phòng,TP Hải Phòng|Hải Phòng|TP Hai Phong|Hai Phong|HP,Đồng bằng sông Hồng
Bắc Ninh,Bắc Ninh|Bac Ninh|BN,Đồng bằng sông Hồng
Sơn La,Sơn La|Son La|SL,Trung du và miền núi phía Bắc
TP Hà Nội,TP Hà Nội|Hà Nội|TP Ha Noi|Ha Noi|HN,Đồng bằng sông Hồng
Ninh Bình,Ninh Bình|Ninh Binh|NB,Đồng bằng sông Hồng
Điện Biên,Điện Biên|Dien Bien|ĐB|DB,Trung du và miền núi phía Bắc
Lào Cai,Lào Cai|Lao Cai|LC,Trung du và miền núi phía Bắc
Tuyên Quang,Tuyên Quang|Tuyen Quang|TQ,Trung du và miền núi phía Bắc
Hưng Yên,Hưng Yên|Hung Yen|HY,Đồng bằng sông Hồng
Thái Nguyên,Thái Nguyên|Thai Nguyen|TN,Trung du và miền núi phía Bắc
Quảng Ninh,Quảng Ninh|Quang Ninh|QN,Trung du và miền núi phía Bắc
Cao Bằng,Cao Bằng|Cao Bang|CB,Trung du và miền núi phía Bắc
Lạng Sơn,Lạng Sơn|Lang Son|LS,Trung du và miền núi phía Bắc
Nghệ An,Nghệ An|Nghe An|NA,Bắc Trung Bộ
Đắk Lắk,Đắk Lắk|Dak Lak|Đắc Lắc|Đac Lac|DL,Nam Trung Bộ và Tây Nguyên
Hà Tĩnh,Hà Tĩnh|Ha Tinh|HT,Bắc Trung Bộ
Thanh Hóa,Thanh Hóa|Thanh Hoa|TH,Bắc Trung Bộ
TP Huế,TP Huế|Huế|TP Hue|Hue|TTH|Thừa Thiên Huế|Thừa Thiên - Huế,Bắc Trung Bộ
Khánh Hòa,Khánh Hòa|Khanh Hoa|KH,Nam Trung Bộ và Tây Nguyên
Quảng Trị,Quảng Trị|Quang Tri|QT,Bắc Trung Bộ
Lâm Đồng,Lâm Đồng|Lam Dong|LĐ|LD,Nam Trung Bộ và Tây Nguyên
TP Đà Nẵng,TP Đà Nẵng|Đà Nẵng|TP Da Nang|Da Nang|ĐN|DN,Nam Trung Bộ và Tây Nguyên
Gia Lai,Gia Lai|GL,Nam Trung Bộ và Tây Nguyên
Quảng Ngãi,Quảng Ngãi|Quang Ngai|QNg|QG,Nam Trung Bộ và Tây Nguyên
TP HCM,TP HCM|Hồ Chí Minh|TP Hồ Chí Minh|Sài Gòn|TP.HCM|Saigon|SG,Đông Nam Bộ
Tây Ninh,Tây Ninh|Tay Ninh|TN,Đông Nam Bộ
Cà Mau,Cà Mau|Ca Mau|CM,Đồng bằng sông Cửu Long
TP Cần Thơ,TP Cần Thơ|Cần Thơ|TP Can Tho|Can Tho|CT,Đồng bằng sông Cửu Long
Đồng Tháp,Đồng Tháp|Dong Thap|ĐT|DT,Đồng bằng sông Cửu Long
Đồng Nai,Đồng Nai|Dong Nai|ĐN|DN,Đông Nam Bộ
Vĩnh Long,Vĩnh Long|Vinh Long|VL,Đồng bằng sông Cửu Long
An Giang,An Giang|AG,Đồng bằng sông Cửu Long
