canonical_value
canonical_value,alias,start_hour,end_hour,sort_order,active
00h - 01h,0h-1h,0,1,0,true
01h - 02h,1h-2h,1,2,1,true
02h - 03h,2h-3h,2,3,2,true
03h - 04h,3h-4h,3,4,3,true
04h - 05h,4h-5h,4,5,4,true
05h - 06h,5h-6h,5,6,5,true
06h - 07h,6h-7h,6,7,6,true
07h - 08h,7h-8h,7,8,7,true
08h - 09h,8h-9h,8,9,8,true
09h - 10h,9h-10h,9,10,9,true
10h - 11h,10h-11h,10,11,10,true
11h - 12h,11h-12h,11,12,11,true
12h - 13h,12h-13h,12,13,12,true
13h - 14h,13h-14h,13,14,13,true
14h - 15h,14h-15h,14,15,14,true
15h - 16h,15h-16h,15,16,15,true
16h - 17h,16h-17h,16,17,16,true
17h - 18h,17h-18h,17,18,17,true
18h - 19h,18h-19h,18,19,18,true
19h - 20h,19h-20h,19,20,19,true
20h - 21h,20h-21h,20,21,20,true
21h - 22h,21h-22h,21,22,21,true
22h - 23h,22h-23h,22,23,22,true
23h - 24h,23h-24h,23,24,23,true
